flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [496, 1, 1024, 4096](b, h, d, r), [count]: 344
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [512, 1, 1024, 4096](b, h, d, r), [count]: 344
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [16384, 1, 1024, 4096](b, h, d, r), [count]: 301
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [1, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [104, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [112, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [120, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [128, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [136, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [144, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [152, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [16, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [160, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [168, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [176, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [184, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [192, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [2, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [200, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [208, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [216, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [224, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [232, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [24, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [240, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [248, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [256, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [272, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [288, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [304, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [32, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [320, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [336, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [352, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [368, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [384, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [4, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [40, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [400, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [416, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [432, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [448, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [464, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [48, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [480, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [56, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [64, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [72, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [8, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [80, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [88, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [96, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [1028, 1, 1024, 4096](b, h, d, r), [count]: 43
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [2048, 1, 1024, 4096](b, h, d, r), [count]: 43
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [3805, 1, 1024, 4096](b, h, d, r), [count]: 43
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [3076, 1, 1024, 4096](b, h, d, r), [count]: 1
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 100, 256, 4096](batch, M, N, K), [count]: 218741
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 100, 2048, 4096](batch, M, N, K), [count]: 106827
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 100, 512, 4096](batch, M, N, K), [count]: 106827
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 100, 1024, 4096](batch, M, N, K), [count]: 101740
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 99, 256, 4096](batch, M, N, K), [count]: 602
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 1, 256, 4096](batch, M, N, K), [count]: 387
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 16384, 256, 4096](batch, M, N, K), [count]: 344
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 99, 2048, 4096](batch, M, N, K), [count]: 294
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 99, 512, 4096](batch, M, N, K), [count]: 294
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 99, 1024, 4096](batch, M, N, K), [count]: 280
