flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [496, 1, 1024, 4096](b, h, d, r), [count]: 344
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [512, 1, 1024, 4096](b, h, d, r), [count]: 344
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [1, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [104, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [112, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [120, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [128, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [136, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [144, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [152, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [16, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [160, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [168, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [176, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [184, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [192, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [2, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [200, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [208, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [216, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [224, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [232, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [24, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [240, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [248, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [256, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [272, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [288, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [304, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [32, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [320, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [336, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [352, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [368, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [384, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [4, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [40, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [400, 1, 1024, 4096](b, h, d, r), [count]: 172
